Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)트리플하이엠,[연구소] 온라인 마케팅 데이터 분석 및 설계 (경력),"['서울 금천구', '경력1년↑', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50306090&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)엠로,"데이터 분석 플랫폼 개발자 (경력, 채용 시 마감)","['서울 영등포구', '경력 6~10년', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49903371&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,한국평가데이터(주),[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,"['서울 영등포구', '경력무관', '대졸↑', '계약직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50158018&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,코코넛사일로(주),[코코넛사일로(주)] AI 모델링/빅데이터 분석 신입 모집,"['서울 구로구', '경력무관', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50178019&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)퍼플아카데미,데이터분석가 신입/경력 채용,"['서울전체', '신입·경력', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50187106&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,SK텔레콤(주),AI 서비스 데이터 분석 및 운영 담당자,"['서울 중구', '경력무관', '대졸↑', '기간제·계약직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50326387&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)디에스이트레이드,수요예측 및 데이터 분석 전문가,"['서울 서초구', '경력 3~10년', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50293838&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)애드팝콘,광고 운영/데이터 분석 담당자,"['서울 용산구', '경력 1~5년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50247774&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례),"['서울 강남구', '경력무관', '학력무관', '산업기능요원·현역']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202943&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,씨앤토트(주),데이터 분석 및 시각화 (경력),"['서울 서초구', '경력 3~20년', '초대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50333362&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)한국신용데이터,[데이터분석팀] Data Analyst,"['서울 강남구', '경력 3~7년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50226176&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,아토씨앤씨,[ATO C&C] AI 빅데이터 분석 및 기획자(신입/경력) 채용,"['부산 해운대구', '신입·경력', '초대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50331011&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,바탕에비뉴(주),빅데이터 분석가 모집(신입/경력),"['서울 구로구', '신입·경력', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202953&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)파오스파트너스,"시장 조사 분석, 마켓 리서치 리포트, 데이터 수집, 문서 작성","['서울 용산구', '경력', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49928096&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,111퍼센트(주),데이터 분석가 채용,"['서울 강남구', '경력 5~15년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50232973&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,안진회계법인,[딜로이트 안진회계법인] 금융기관 데이터 분석 전문가,"['서울 영등포구', '경력 5~10년', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50221378&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
